customerID,gender,age,income,purchaseAmount,purchaseDate,productCategory
59,Male,59,45036,933.07,2019-10-18,Beauty
60,Male,26,63606,370.12,2019-06-14,Electronics
61,Male,26,89380,160.75,2020-11-05,Electronics
62,Female,37,74886,165.12,2020-03-29,Electronics
63,Female,63,64254,706.57,2020-04-30,Beauty
64,Female,28,96222,687.03,2020-07-10,Beauty
65,Male,60,71078,751.83,2019-01-04,Books
66,Female,42,98103,83.04,2019-05-15,Electronics
67,Male,48,70277,963.97,2020-02-14,Clothing
68,Female,29,98130,395.65,2020-05-21,Toys
69,Female,28,95813,115.7,2019-05-22,Beauty
70,Male,60,72602,862.55,2019-05-16,Beauty
71,Female,40,99450,397.52,2019-04-14,Toys
72,Male,20,76209,935.87,2019-04-20,Clothing
73,Male,26,40369,716.85,2020-10-24,Electronics
74,Male,58,46108,720.28,2019-04-23,Electronics
75,Male,33,25603,528.43,2020-07-13,Clothing
76,Female,44,62336,294.18,2019-11-23,Books
77,Male,31,79531,761.36,2019-11-07,Clothing
78,Male,20,73374,360.61,2020-04-05,Toys
79,Female,37,26230,699.96,2020-03-19,Electronics
80,Female,60,87248,571.56,2019-10-06,Beauty
81,Female,44,52985,437.32,2020-05-12,Books
82,Female,65,24606,584.07,2020-08-11,Books
83,Male,52,94658,234.73,2019-01-27,Clothing
84,Male,57,40389,263.72,2019-05-07,Beauty
85,Male,23,69837,999.48,2019-01-03,Toys
86,Female,42,27877,287.16,2019-07-25,Beauty
87,Male,44,62364,746.54,2019-02-17,Electronics
88,Male,38,67108,390.31,2019-08-15,Toys
89,Female,19,95518,987.89,2020-02-12,Clothing
90,Male,57,62338,303.07,2020-02-26,Clothing
91,Female,47,99579,814.32,2020-12-29,Clothing
92,Male,37,28226,878.66,2020-09-21,Beauty
93,Male,64,96820,758.6,2019-03-26,Books
94,Male,54,82074,815.65,2020-01-19,Beauty
95,Female,50,42557,287.71,2019-06-23,Books
96,Male,49,69111,559.26,2020-05-12,Clothing
97,Female,49,86202,431.96,2019-10-03,Books
98,Male,22,84719,631.57,2019-01-27,Beauty
99,Male,52,83693,404.07,2020-11-21,Books
100,Male,39,78832,101.59,2019-12-28,Beauty
101,Male,60,27260,345.45,2020-05-30,Beauty
102,Male,39,74643,215.62,2020-08-22,Books
103,Female,27,78401,436.5,2020-07-03,Books
104,Male,21,76221,876.01,2019-07-25,Books
105,Male,23,87815,862.91,2020-11-09,Beauty
106,Male,43,68585,947.57,2019-02-07,Toys
107,Male,24,65159,532.62,2020-09-14,Clothing
108,Female,40,37715,394.52,2019-09-30,Beauty
109,Male,41,59256,923.08,2019-05-31,Beauty
110,Female,49,28190,146.43,2020-04-07,Beauty
111,Male,22,56799,708.21,2019-05-08,Electronics
112,Male,53,50551,857.7,2020-11-18,Toys
113,Male,58,91412,729.04,2020-10-08,Clothing
114,Female,36,65899,150.12,2020-05-04,Beauty
115,Male,59,96829,478.5,2019-10-14,Clothing
116,Female,61,83454,729.74,2019-10-16,Clothing
117,Male,37,56445,843.81,2019-10-05,Toys
118,Male,20,34448,346.27,2019-09-11,Clothing
119,Female,24,66501,570.94,2020-07-07,Clothing
120,Male,56,75883,112.25,2020-04-11,Toys
121,Female,62,56280,745.39,2019-05-17,Electronics
122,Female,44,89738,736.75,2019-06-27,Electronics
123,Male,44,45203,78.12,2020-02-14,Toys
124,Male,32,66580,224.11,2020-03-05,Books
125,Female,57,94943,213.29,2020-10-09,Electronics
126,Male,44,41065,366.53,2019-07-25,Beauty
127,Female,62,93899,290.97,2019-09-14,Clothing
128,Male,40,86353,997.83,2019-07-02,Toys
129,Female,65,22827,264.72,2019-07-18,Clothing
130,Male,64,82399,676.63,2019-05-30,Beauty
131,Male,58,35607,918.71,2019-11-29,Clothing
132,Female,24,93421,796.42,2019-04-29,Clothing
133,Female,42,57879,423.69,2019-09-25,Toys
134,Male,47,99045,783.72,2019-10-30,Beauty
135,Female,37,42193,865.05,2020-03-26,Toys
136,Female,20,73682,417.46,2019-10-19,Electronics
137,Male,30,66919,142.68,2020-10-18,Electronics
138,Male,40,88771,627.51,2020-01-11,Beauty
139,Female,36,28529,146.21,2019-10-19,Electronics
140,Male,38,27259,159.49,2020-06-03,Clothing
141,Male,61,35509,789.53,2019-05-11,Beauty
142,Female,44,20050,506.42,2019-06-11,Books
143,Female,53,30902,273,2020-09-17,Beauty
144,Female,26,77076,488.39,2019-02-13,Clothing
145,Male,32,58092,15.7,2020-09-05,Electronics
146,Male,63,87932,80.28,2019-02-18,Electronics
147,Female,20,32352,908.92,2019-03-04,Beauty
148,Female,26,34046,739.97,2020-03-04,Beauty
149,Female,20,24446,997.14,2019-04-07,Toys
150,Male,59,38698,140.02,2020-09-08,Books
151,Male,43,90207,181.86,2019-07-22,Clothing
152,Female,33,34851,516.75,2020-05-20,Toys
153,Female,48,88576,727.33,2020-07-08,Clothing
154,Male,55,62377,189.86,2020-05-09,Books
155,Male,37,54225,659.02,2019-09-07,Electronics
156,Male,54,54301,721.07,2020-10-27,Beauty
157,Female,35,59430,655.45,2020-12-27,Electronics
158,Female,55,24050,170.42,2020-11-08,Beauty
159,Male,39,57437,308.45,2020-12-12,Toys
160,Female,48,98147,210.66,2020-01-21,Beauty
161,Male,28.5,78421,95.72,2019-11-16,Clothing
162,Male,32,31011,943.36,2019-10-18,Toys
163,Male,18,41512,913.01,2020-03-21,Toys
164,Female,38,72383,954.73,2019-12-26,Clothing
165,Female,22,55909,673.6,2019-04-17,Toys
166,Female,51,46758,767.05,2020-11-14,Books
167,Female,25,92579,881.67,2019-07-02,Beauty
168,Female,29,63076,705.78,2020-12-11,Toys
169,Female,30,90873,439.52,2019-04-22,Electronics
170,Female,49,85655,255.91,2019-02-01,Books
171,Female,43,71616,59.78,2019-08-03,Books
172,Male,65,87732,251.02,2020-08-09,Books
173,Male,25,50940,785.78,2019-08-27,Toys
174,Male,23,83973,329.55,2020-10-06,Books
175,Female,63,43867,409.26,2020-06-24,Toys
176,Male,65,47143,517.42,2020-06-21,Electronics
177,Female,26,81493,778.11,2020-04-09,Beauty
178,Male,47,38332,515.15,2019-02-12,Beauty
179,Female,23,93354,22.79,2019-01-10,Electronics
180,Female,33,55187,512.97,2019-05-18,Books
181,Male,41,65338,209.99,2019-05-21,Electronics
182,Female,26,26765,359.07,2019-01-20,Electronics
183,Female,56,71376,222.51,2020-05-29,Beauty
184,Female,30,57836,131.62,2020-01-20,Electronics
185,Male,31,62319,906.07,2019-02-04,Clothing
186,Male,54,69068,440.4,2020-07-07,Clothing
187,Female,21,40643,129.13,2019-07-11,Toys
188,Male,49,44208,691.73,2020-06-21,Books
189,Female,40,56382,51.93,2020-08-30,Books
190,Male,18,22420,483.29,2019-06-22,Books
191,Male,49,51441,428.93,2019-06-12,Electronics
192,Male,42,95419,813.62,2020-10-02,Toys
193,Female,54,57984,619.52,2020-01-08,Beauty
194,Female,26,80119,102.63,2019-12-11,Electronics
195,Male,30,90505,371.53,2020-06-14,Clothing
196,Female,64,85900,507.31,2020-02-16,Clothing
197,Male,56,84727,694.49,2020-07-13,Clothing
198,Female,38,91421,652.4,2019-10-26,Electronics
199,Male,63,37745,179.9,2020-05-25,Beauty
200,Male,57,63940,724.59,2020-02-25,Beauty
201,Male,58,95330,288.58,2019-11-20,Clothing
202,Female,22,65454,261.12,2019-08-12,Clothing
203,Female,63,87723,732.33,2020-06-02,Clothing
204,Male,57,27460,279.86,2019-10-18,Electronics
205,Male,28,50098,722.05,2020-02-03,Beauty
206,Female,53,33256,481.53,2020-06-12,Books
207,Male,49,20539,57.4,2020-08-03,Books
208,Male,62,79034,234.71,2020-07-12,Electronics
209,Male,26,53448,517.86,2019-06-23,Beauty
210,Male,43,84818,329.29,2019-02-20,Electronics
211,Female,24,50774,834.86,2020-04-08,Toys
212,Female,30,44152,642.85,2019-08-06,Toys
213,Female,58,24178,30.91,2020-01-13,Clothing
214,Female,23,23702,728.05,2020-05-04,Toys
215,Male,40,61725,403.91,2019-02-23,Clothing
216,Female,61,54098,88.13,2020-10-03,Books
217,Female,57,95018,389.27,2020-10-12,Clothing
218,Female,54,22097,41.77,2019-03-31,Toys
219,Female,40,94281,485.18,2020-07-21,Books
220,Female,34,49561,587.44,2019-09-13,Toys
221,Female,53,32199,182.65,2020-11-02,Electronics
222,Male,60,27129,132.4,2020-09-10,Books
223,Female,52,43843,845.12,2019-09-09,Clothing
224,Male,23,55528,268.63,2019-03-15,Books
225,Female,55,46392,370.2,2020-11-06,Toys
226,Male,48,93097,537.18,2020-07-02,Beauty
227,Male,61,97837,482.22,2019-01-24,Clothing
228,Female,33,55146,439.41,2019-11-29,Toys
229,Male,28,41867,455.25,2020-09-06,Books
230,Male,22,20621,951.6,2019-08-10,Books
231,Female,19,40297,535.57,2019-05-03,Electronics
232,Male,54,62237,871.44,2019-12-21,Beauty
233,Male,51,74812,224.09,2020-01-03,Books
234,Female,33,54902,464.27,2019-01-23,Toys
235,Female,64,80498,564.45,2020-03-30,
236,Male,58,60929,296.27,2019-12-13,Electronics
237,Male,64,86316,123.53,2020-04-14,Books
238,Female,24,88759,742.15,2019-03-31,Books
239,Male,46,31826,478.36,2020-03-19,Toys
240,Male,63,33639,535.62,2019-07-11,Books
241,Male,42,49851,993,2019-05-14,Electronics
242,Male,57,54166,995.97,2020-01-25,Books
243,Female,18,79043,938,2020-10-02,Clothing
244,Male,62,84914,904.98,2020-07-09,Clothing
245,Male,53,57897,757.59,2019-03-10,Beauty
246,Male,45,33519,66.86,2019-08-23,Toys
247,Female,37,49262,564.48,2019-12-23,Beauty
248,Male,24,68655,214.24,2020-07-28,Clothing
249,Female,45,24686,411.61,2020-01-27,Electronics
250,Male,44,32614,464.3,2019-10-24,Toys
251,Male,38,44894,17.91,2019-08-16,Toys
252,Male,62,84759,749.96,2019-08-13,Books
253,Male,60,32323,252.38,2019-05-28,Electronics
254,Female,36,37905,939.1,2020-04-24,Toys
255,Male,65,55225,994.84,2019-05-31,Clothing
256,Female,52,80392,132.97,2020-07-22,Books
257,Female,32,38615,344.22,2019-07-18,Toys
258,Male,64,91543,423.76,2019-11-21,Beauty
259,Female,31,82621,970.85,2020-12-30,Beauty
260,Male,22,81210,743.78,2020-03-05,Electronics
261,Female,41,52646,552.4,2019-05-04,Books
262,Female,43,44855,363.3,2019-01-28,Electronics
263,Female,22,42331,835.89,2020-09-27,Books
264,Male,54,69661,403.75,2020-11-11,Books
265,Male,39,54992,72.86,2020-08-12,Clothing
266,Male,56,90377,481.99,2020-11-14,Books
267,Male,37,89241,461.5,2020-04-08,Toys
268,Female,51,47781,338.19,2020-12-02,Clothing
269,Female,32,68707,903.99,2019-12-07,Electronics
270,Male,45,74318,40.32,2020-04-29,Beauty
271,Female,29,93638,169.15,2020-08-06,Toys
272,Male,26,49495,620.92,2020-07-06,Clothing
273,Male,20,56676,930.43,2019-06-02,Toys
274,Male,36,72137,609.1,2019-03-17,Beauty
275,Female,21,70161,320.51,2020-07-13,Beauty
276,Male,32,69010,776.37,2020-10-12,Toys
277,Female,64,62210,378.07,2020-01-08,Books
278,Female,47,35350,333.94,2019-09-30,Clothing
279,Female,43,82439,760.43,2019-11-09,Books
280,Male,54,59156,371.69,2020-02-07,Clothing
281,Male,35,76559,607.49,2019-05-14,Toys
282,Male,55,40732,939.2,2020-05-22,Books
283,Female,25,38033,715.96,2019-09-23,Books
284,Male,62,32191,760.89,2020-10-17,Electronics
285,Male,64,25698,876.06,2019-11-25,Clothing
286,Male,52,36732,612.89,2019-05-30,Toys
287,Female,46,48924,282.41,2019-04-21,Beauty
288,Male,48,69289,388.56,2019-02-09,Clothing
289,Male,59,29616,175.14,2019-05-31,Electronics
290,Male,47,68255,870.27,2020-09-16,Books
291,Male,32,83657,758.04,2020-05-30,Toys
292,Female,56,41325,984.53,2019-06-09,Clothing
293,Male,36,76128,734.14,2019-09-26,Clothing
294,Male,65,93436,628,2020-02-16,Electronics
295,Male,19,61501,727.41,2020-08-09,Electronics
296,Female,41,88431,801.78,2020-10-12,Beauty
297,Female,36,52207,89.4,2020-01-21,Books
298,Female,34,95626,582.11,2020-05-17,Books
299,Female,39,81157,79.29,2019-07-07,Toys
300,Male,41,98955,567.39,2020-08-12,Toys
301,Male,45,78313,917.51,2019-02-16,Electronics
302,Female,57,41953,573.74,2019-08-02,Toys
303,Female,57,72552,727.64,2019-08-18,Books
304,Male,34,68415,391.76,2019-10-11,Beauty
305,Female,61,30821,368.76,2020-11-07,Beauty
306,Male,63,95506,567.84,2019-06-23,Electronics
307,Male,23,61837,435.03,2019-11-13,Electronics
308,Female,37,27858,114.72,2019-03-29,Electronics
309,Female,40,99839,810.98,2019-05-12,Books
310,Female,38,26229,105.22,2019-06-01,Toys
311,Male,18,93126,817.63,2020-01-18,Beauty
312,Male,54,26773,304.45,2020-08-27,Books
313,Female,64,95822,985.59,2020-09-11,Beauty
314,Male,62,93844,821.49,2019-02-01,Electronics
315,Male,32,59586,938.6,2020-02-07,Books
316,Male,39,52757,977.57,2019-05-18,Books
317,Male,40,22467,636.61,2020-10-31,Clothing
318,Male,32,86951,683.71,2020-07-04,Electronics
319,Male,39,54491,488,2020-10-08,Beauty
320,Male,57,63085,869.8,2020-06-26,Electronics
321,Male,65,77165,48.26,2020-02-12,Books
322,Female,36,92196,574.46,2020-06-14,Clothing
323,Female,36,51864,855.46,2020-10-26,Toys
324,Female,37,29197,477.3,2020-10-04,Toys
325,Male,41,86567,220.11,2019-02-02,Electronics
326,Male,24,65537,234.17,2019-02-08,Books
327,Female,57,54517,721.33,2020-05-11,Clothing
328,Female,42,87075,642.81,2020-05-11,Toys
329,Male,40,68695,611.26,2019-10-26,Toys
330,Male,49,49641,457.1,2019-05-11,Clothing
331,Female,34,20007,610.28,2019-06-02,Electronics
332,Male,40,43829,832.82,2019-12-31,Electronics
333,Female,52,32911,948.33,2020-09-13,Clothing
334,Male,47,60250,253.36,2019-12-04,Electronics
335,Male,29,41865,18.82,2019-09-07,Electronics
336,Female,32,83212,953.72,2019-09-25,Electronics
337,Female,33,20041,810.37,2020-12-02,Books
338,Male,24,73065,113.14,2019-01-31,Electronics
339,Female,40,47905,141.28,2019-10-25,Toys
340,Female,61,90881,775.01,2019-01-20,Toys
341,Male,-40,94823,297.52,2020-12-21,Clothing
342,Female,33,59166,221.32,2020-11-03,Beauty
343,Male,24,59435,799.15,2019-07-24,Electronics
344,Male,21,91719,889.25,2020-05-24,Books
345,Male,35,29056,376.6,2020-04-20,Electronics
346,Female,59,50270,795.59,2019-09-15,Toys
347,Female,36,60064,684.21,2019-01-31,Electronics
348,Male,45,98436,544.07,2020-11-02,Beauty
349,Male,57,20198,322.16,2020-10-27,Electronics
350,Male,56,56171,229.96,2020-05-19,Clothing
351,Male,18,49481,976.12,2019-08-19,Books
352,Female,61,91367,246.94,2020-03-23,Electronics
353,Male,27,90238,703.7,2020-10-26,Books
354,Female,51,81526,808.25,2020-11-01,Beauty
355,Male,45,27926,732.53,2020-06-30,Clothing
356,Female,27,48888,763.18,2019-05-19,Books
357,Male,29,49343,587.64,2019-09-22,Electronics
358,Female,49,52447,453.65,2019-07-26,Beauty
359,Female,20,87548,294.35,2020-01-20,Electronics
360,Female,38,77246,291.77,2019-02-06,Beauty
361,Female,33,22175,412.41,2019-05-12,Books
362,Male,39,35633,846.81,2020-08-24,Electronics
363,Female,56,83274,330.48,2020-02-27,Books
364,Male,65,77329,871.87,2020-01-10,Electronics
365,Male,31,36309,434.63,2020-01-03,Clothing
366,Female,26,55046,552.55,2019-10-17,Books
367,Male,21,45792,217.34,2019-07-23,Clothing
368,Male,20,32480,428.65,2019-12-05,Toys
369,Male,38,59787,782.26,2020-01-28,Beauty
370,Female,32,95387,720.07,2019-11-23,Books
371,Female,35,45318,891.12,2019-12-23,Toys
372,Female,58,49814,976.79,2019-11-17,Books
373,Female,48,82415,825.4,2020-08-18,Clothing
374,Male,59,27099,522.82,2020-10-14,Beauty
375,Male,18,33610,300.24,2020-02-06,Clothing
376,Female,42,56609,181.52,2020-04-25,Beauty
377,Female,44,31939,86.01,2020-12-23,Electronics
378,Male,62,76430,307.04,2019-11-16,Books
379,Female,36,76143,870.22,2019-09-09,Clothing
380,Male,44,28233,34.1,2019-04-03,Beauty
381,Male,45,72968,136.03,2019-06-04,Electronics
382,Male,57,41194,789.64,2020-08-07,Electronics
383,Male,33,71099,322.69,2020-11-10,Clothing
384,Male,56,26859,362.79,2020-07-19,Toys
385,Male,62,21575,302.24,2020-04-15,Beauty
386,Female,52,92128,454.83,2019-05-03,Toys
387,Female,50,47564,67.43,2020-04-15,Beauty
388,Female,30,66574,407.27,2019-12-17,Electronics
389,Male,48,81850,935.27,2020-04-20,Books
390,Female,23,30656,630.17,2019-01-14,Toys
391,Female,32,83894,752.45,2020-07-13,Beauty
392,Female,18,67835,473.22,2020-04-16,Clothing
393,Female,20,92371,468.57,2020-11-19,Toys
394,Male,20,99567,552.72,2019-02-08,Toys
395,Female,22,93974,736.96,2019-10-31,Toys
396,Male,21,56263,434.22,2019-08-31,Toys
397,Male,61,70252,397.97,2020-10-13,Clothing
398,Male,34,55618,806.06,2020-04-06,Toys
399,Male,34,39315,578.16,2019-02-26,Electronics
400,Male,49,42043,476.66,2020-08-29,Toys
401,Female,46,79946,655.52,2020-04-03,Toys
402,Female,27,81310,399.49,2020-10-30,Toys
403,Female,39,85114,133.85,2019-12-27,Beauty
404,Female,38,48097,589.12,2020-05-31,Clothing
405,Male,27,43338,320.82,2019-08-26,Toys
406,Male,18,89995,771.99,2019-02-28,Books
407,Female,59,44275,918.34,2019-07-20,Clothing
408,Male,29,22814,805.34,2019-12-18,Clothing
409,Male,35,42229,595.54,2020-06-26,Electronics
410,Female,21,52717,177.21,2020-04-07,Electronics
411,Male,27,50369,956.77,2019-02-16,Books
412,Female,20,97673,118.69,2019-08-03,Clothing
413,Male,29,56698,567.52,2019-03-30,Books
414,Female,64,83663,21.86,2019-08-08,Clothing
415,Female,63,81080,27.57,2019-04-03,Toys
416,Female,24,26856,552.89,2020-12-15,Clothing
417,Female,27,97458,318.53,2020-09-11,Clothing
418,Male,25,45825,571.08,2020-09-06,Electronics
419,Female,51,51282,662.18,2019-07-18,Electronics
420,Male,39,80409,44.25,2020-10-05,Electronics
421,Female,45,52723,918.31,2019-12-03,Beauty
422,Female,53,42334,112.71,2020-06-20,Clothing
423,Female,20,88959,775.22,2020-09-17,Toys
424,Male,23,26452,573.78,2019-03-11,Books
425,Male,58,92799,937.63,2019-08-06,Beauty
426,Female,31,62124,356.35,2019-03-08,Toys
427,Male,45,67506,413.32,2019-09-22,Beauty
428,Male,26,60523,191.27,2020-11-18,Clothing
429,Female,26,94443,336.59,2020-02-15,Beauty
430,Male,47,94905,378.22,2020-11-05,Beauty
431,Male,63,74820,830.24,2019-08-17,Beauty
432,Female,63,53355,354.77,2020-02-06,Beauty
433,Male,26,48867,183.17,2020-12-01,Toys
434,Male,32,61858,819.18,2020-03-25,Electronics
435,Female,58,83061,432.45,2019-02-08,Beauty
436,Female,58,74925,633.12,2020-02-05,Toys
437,Female,60,73809,548.67,2019-10-11,Beauty
438,Male,49,37799,935.04,2020-05-02,Books
439,Female,38,29195,515.61,2019-11-19,Electronics
440,Female,41,52174,61.85,2019-07-23,Electronics
441,Female,23,31673,951.25,2020-04-25,Clothing
442,Male,64,71054,310.07,2020-09-02,Electronics
443,Male,58,85032,767.56,2019-06-25,Clothing
444,Female,34,59668,384.33,2020-08-02,Toys
445,Male,44,89376,879.43,2020-10-11,Books
446,Female,41,37572,271.6,2020-07-15,Books
447,Male,62,70935,708.8,2020-06-12,Electronics
448,Female,42,83793,398.76,2019-12-19,Clothing
449,Male,40,48056,347.99,2019-05-25,Beauty
450,Female,37,26856,232.86,2019-04-03,Clothing
451,Female,40,44080,234.57,2020-08-08,Clothing
452,Male,24,78806,435.95,2019-02-20,Toys
453,Female,20,25728,139.82,2019-07-10,Toys
454,Female,29,97688,940.51,2020-12-20,Electronics
455,Female,36,30868,799.63,2019-08-07,Toys
456,Male,19,27723,858.22,2020-05-02,Beauty
457,Male,19,68099,442.61,2020-03-05,Beauty
458,Female,19,45629,194.52,2020-05-18,Electronics
459,Female,39,88527,824.09,2019-10-26,Books
460,Female,61,51979,919.16,2020-12-06,Beauty
461,Male,25,79115,171.68,2020-01-04,Clothing
462,Male,36,80076,453.91,2019-08-07,Electronics
463,Female,23,79348,443.04,2020-07-07,Beauty
464,Female,22,96748,308.62,2019-11-09,Beauty
465,Female,27,35305,612.7,2019-05-19,Electronics
466,Male,33,30768,377.04,2020-11-25,Toys
467,Male,35,86212,514.9,2019-03-21,Books
468,Male,52,72847,865.12,2020-11-27,Electronics
469,Female,29,41117,479.32,2020-04-09,Electronics
470,Female,44,59200,313.03,2019-06-14,Beauty
471,Male,52,28169,96.15,2019-10-28,Clothing
472,Female,27,51992,623.61,2019-09-11,Toys
473,Male,57,23311,818.62,2019-02-04,Toys
474,Female,19,76899,609.19,2019-08-29,Toys
475,Female,52,50141,11.58,2019-12-27,Books
476,Male,54,25909,840.17,2019-01-12,Toys
477,Male,32,96550,99.97,2020-09-26,Books
478,Male,60,27643,248.08,2020-11-24,Toys
479,Female,29,43356,776.98,2020-09-24,Beauty
480,Female,64,50331,896.09,2020-01-08,Clothing
481,Male,52,27683,583.37,2019-09-11,Toys
482,Female,58,53305,148.14,2019-06-16,Electronics
483,Female,23,74013,936.77,2019-03-15,Electronics
484,Male,51,51230,66.22,2020-10-22,Clothing
485,Female,38,48894,349.41,2019-04-08,Clothing
486,Male,59,23539,43.27,2020-12-07,Electronics
487,Female,31,83983,535.25,2019-05-22,Beauty
488,Female,59,58042,212.79,2020-10-19,Clothing
489,Female,52,42052,258.28,2019-02-20,Toys
490,Female,51,70589,169.09,2020-05-24,Books
491,Female,64,80664,576.63,2019-12-27,Electronics
492,Female,55,78981,42.12,2019-03-09,Toys
493,Male,42,38390,987.04,2019-10-12,Beauty
494,Male,21,55750,791.09,2020-12-24,Toys
495,Female,58,72948,803.47,2020-05-08,Books
496,Male,53,23414,140.19,2019-10-15,Toys
497,Male,26,31085,570.33,2019-01-18,Beauty
498,Male,63,59677,174.44,2019-05-02,Toys
499,Male,63,36222,763.75,2019-11-11,Toys
500,Female,48,79447,398.39,2020-03-30,Books
501,Male,37,64352,311.78,2020-12-19,Toys
502,Male,61,63593,417.54,2019-09-26,Beauty
503,Female,32,29842,193.03,2019-05-31,Electronics
504,Female,64,92657,467.55,2019-02-16,Toys
505,Male,61,86783,304.3,2020-06-12,Beauty
506,Female,28,61437,163.55,2020-06-06,Beauty
507,Male,58,84016,772.72,2020-07-02,Books
508,Male,18,33976,252.98,2020-05-09,Clothing
509,Female,27,68172,315.2,2020-10-27,Books
510,Male,44,85226,591.45,2020-03-27,Toys
511,Female,51,28373,449.74,2020-11-07,Beauty
512,Male,47,77984,174.38,2019-05-24,Clothing
513,Male,57,67372,230.33,2020-08-29,Beauty
514,Female,39,72122,66.71,2020-12-10,Beauty
515,Male,46,32739,603.11,2019-02-08,Toys
516,Male,58,87307,12.4,2019-06-30,Books
517,Male,22,97516,407.7,2020-01-05,Beauty
518,Male,53,91299,454.6,2019-04-25,Toys
519,Female,60,32844,376.21,2019-09-20,Beauty
520,Female,26,44583,996.63,2020-02-05,Clothing
521,Female,-36,48711,518.92,2019-01-11,Beauty
522,Male,50,44196,392.54,2019-08-07,Books
523,Female,45,37196,733,2020-06-06,Toys
524,Female,39,41795,823.9,2020-03-12,Electronics
525,Female,20,64440,881.92,2020-01-19,Clothing
526,Female,32,33478,914.78,2020-11-27,Beauty
527,Female,63,28046,150.16,2019-08-24,Electronics
528,Female,59,77538,587.51,2020-12-22,Beauty
529,Female,30,45358,852.81,2020-04-13,Electronics
530,Male,56,74992,290.45,2020-12-17,Toys
531,Female,36,55222,139.01,2019-11-11,Books
532,Female,39,96972,929.31,2019-03-21,Electronics
533,Female,30,50348,851.59,2020-09-03,Electronics
534,Male,50,30146,82.15,2019-10-30,Beauty
535,Male,21,64519,649.14,2019-02-09,Beauty
536,Male,32,78930,584.84,2019-09-05,Beauty
537,Male,21,54699,589.7,2020-02-26,Electronics
538,Female,51,84451,28.26,2019-11-16,Electronics
539,Male,30,67899,296.59,2020-02-19,Books
540,Male,47,71697,818.71,2019-03-20,Electronics
541,Female,24,34531,984.06,2020-12-07,Books
542,Male,62,62369,525.32,2019-10-30,Toys
543,Female,46,42274,448.39,2020-04-24,Electronics
544,Female,55,34492,302.53,2019-03-22,Clothing
545,Female,30,57783,798.93,2020-09-25,Books
546,Male,29,56162,577.97,2019-09-03,Electronics
547,Female,42,34803,143.29,2020-09-11,Electronics
548,Female,60,80220,514.84,2019-06-12,Clothing
549,Female,60,88025,143.12,2020-06-20,Beauty
